Composer,Performer,Perf_Nationality,Perf_Gender,Piece,Length,Tempo,Time_Signature,Freq_C,Freq_C#/Db,Freq_D,Freq_D#/Eb,Freq_E,Freq_F,Freq_F#/Gb,Freq_G,Freq_G#/Ab,Freq_A,Freq_A#/Bb,Freq_B,Unique_Velocities,Average_Velocity,Min_Velocity,Max_Velocity
Babajanian,JieChen,China,F,PoemForPiano(2),331,203,4/4,0.08869,0.07849,0.08563,0.07339,0.07883,0.08053,0.06626,0.07679,0.07407,0.09888,0.11111,0.08733,110,64.91,6,115
Bach,MisuzuTanaka,Japan,F,ItalianConcertoBWV9711stMov,230,218,4/4,0.16492,0.02574,0.14682,0.02735,0.10257,0.14602,0.00644,0.11665,0.01086,0.1255,0.0893,0.03781,79,63.97,3,94
Bach,MariaKharsel,Russia,F,PartitaNo1InBFlatMajorBWV8256thMov,77,214,4/4,0.11328,0.03776,0.07552,0.0599,0.07943,0.13542,0.04688,0.12109,0.04036,0.11328,0.16016,0.01693,61,73.93,20,107
Bach,MariaKharsel,Russia,F,PartitaNo1InBFlatMajorBWV8255thMov,145,191,4/4,0.1202,0.0,0.11919,0.10202,0.01111,0.18889,0.01515,0.10909,0.01919,0.13131,0.17677,0.00707,72,65.64,7,98
Bach,MariaKharsel,Russia,F,PartitaNo1InBFlatMajorBWV8254thMov,320,170,4/4,0.11925,0.00282,0.10892,0.14178,0.06291,0.2216,0.01033,0.08638,0.02817,0.08545,0.12394,0.00845,73,60.32,15,98
Bach,AllisonTo,USA,F,PreludeAndFugueInFMinorWTCBook1,354,178,4/4,0.16475,0.06257,0.05996,0.08342,0.04797,0.14442,0.01043,0.13191,0.11418,0.03024,0.11627,0.03389,67,60.61,3,95
Bach,MisuzuTanaka,Japan,F,ItalianConcertoBWV9712ndMov,269,162,4/4,0.07003,0.05038,0.15969,0.00769,0.14518,0.15457,0.00939,0.14774,0.00427,0.13407,0.09991,0.01708,68,49.96,10,82
Bach,MariaKharsel,Russia,F,PartitaNo1InBFlatMajorBWV8252ndMov,160,178,4/4,0.15805,0.00228,0.11778,0.06991,0.06763,0.14438,0.01292,0.13526,0.02812,0.10942,0.12994,0.02432,60,70.6,27,100
Bach,MariaKharsel,Russia,F,PartitaNo1InBFlatMajorBWV8251stMov,128,184,4/4,0.13793,0.00431,0.15661,0.08908,0.04454,0.16379,0.01149,0.11063,0.00718,0.09195,0.1796,0.00287,62,64.23,25,91
Bach,ToshiakiIshida,Japan,M,ChoralPreludesWachetAnfRuft,244,160,4/4,0.11548,0.00084,0.11046,0.17155,0.00167,0.13473,0.00586,0.159,0.08452,0.0477,0.16151,0.00669,67,53.37,19,87
Bach,MariaKharsel,Russia,F,PartitaNo1InBFlatMajorBWV8253rdMov,116,217,4/4,0.14985,0.00753,0.13328,0.04744,0.07605,0.15663,0.01355,0.11295,0.0128,0.1363,0.13931,0.01431,73,75.55,3,104
Bach,TuomasKyykhynen,Finland,M,ItalianConcertoInFMajorBWV9711stMov,254,195,4/4,0.16281,0.02639,0.1421,0.0268,0.10516,0.14698,0.0065,0.11896,0.01177,0.12708,0.08567,0.03979,70,74.99,13,105
Bach,MisuzuTanaka,Japan,F,ItalianConcertoBWV9713rdMov,224,233,4/4,0.13523,0.01754,0.12537,0.0117,0.11769,0.16484,0.00731,0.12719,0.01462,0.14181,0.08626,0.05044,83,66.16,3,98
Bach,PetronelMalan,SouthAfrica,F,PreludeAndFugueNo9WTCBook2,354,189,4/4,0.02108,0.12229,0.01084,0.11627,0.15783,0.01145,0.14096,0.00723,0.14036,0.09699,0.03253,0.14217,86,50.13,6,98
Bach,JudyHuang,Taiwan,F,ChoralePreludesWachetAufRuftUnsDieStimme,216,158,4/4,0.11386,0.00107,0.11278,0.17401,0.00215,0.12997,0.00752,0.16649,0.08808,0.04296,0.15252,0.00859,74,52.12,18,93
Bach,AlexanderSolomon,USA,M,PreludeAndFugueInBFlatMWTCBook1,171,197,4/4,0.1434,0.00379,0.15098,0.09286,0.02843,0.15666,0.01516,0.11434,0.01769,0.11434,0.14719,0.01516,58,66.69,23,91
Bach,IlyaBlinov,Russia,F,PreludeAndFugueInBMinorWTCBook2,430,208,4/4,0.12353,0.12531,0.02706,0.13136,0.01816,0.13421,0.07796,0.04984,0.0979,0.03774,0.15272,0.02421,78,66.05,6,101
Bach,AliHireche,France,M,FantasyAndFugueInAMinor,628,229,4/4,0.10769,0.03108,0.11648,0.0248,0.1551,0.05965,0.06374,0.09702,0.03987,0.16264,0.01287,0.12904,75,68.49,14,96
Bach,BorisGiltburg,Israel,M,ChaconneInDMinor,866,200,4/4,0.048,0.07088,0.18679,0.0188,0.11356,0.08313,0.05406,0.1002,0.01534,0.1879,0.07694,0.04441,110,75.23,6,116
Bach,ChristopherSchmitt,USA,M,PreludeAndFugueInEFlatMinorWTCBook1,585,192,4/4,0.02886,0.08657,0.04182,0.16604,0.01924,0.12003,0.11585,0.02802,0.13634,0.01171,0.15726,0.08825,94,60.61,3,110
Bach,IlyaMaximov,Russia,M,PreludeAndFugueInCMajorWTCBook2,239,239,4/4,0.13766,0.01558,0.15065,0.00623,0.14286,0.12727,0.02909,0.14753,0.01558,0.12,0.02909,0.07844,82,68.17,3,104
Bach,VeraOussetskaia,Russia,F,GoldbergVariationsNo1-14,1079,193,4/4,0.08637,0.03623,0.13536,0.01869,0.13317,0.01044,0.12324,0.16501,0.00477,0.14671,0.00309,0.13691,82,67.65,6,99
Bach,SyuzannaKaszo,Ukraine,F,EnglishSuiteInAMinorBWV8076thMov,194,222,4/4,0.12042,0.02083,0.10292,0.02833,0.16417,0.0725,0.06042,0.1325,0.02292,0.14292,0.00375,0.12833,68,71.49,12,99
Bach,SyuzannaKaszo,Ukraine,F,EnglishSuiteInAMinorBWV8075thMov,249,231,4/4,0.09371,0.04597,0.11598,0.02263,0.17433,0.05622,0.05304,0.07426,0.04137,0.17008,0.01025,0.14215,71,69.21,6,98
Bach,SyuzannaKaszo,Ukraine,F,EnglishSuiteInAMinorBWV8074thMov,256,157,4/4,0.1418,0.01356,0.08878,0.03083,0.17756,0.09125,0.03329,0.11714,0.03083,0.1418,0.02343,0.10974,66,59.06,16,92
Bach,SyuzannaKaszo,Ukraine,F,EnglishSuiteInAMinorBWV8073rdMov,103,194,4/4,0.13903,0.01688,0.14598,0.0,0.15889,0.10427,0.01589,0.10129,0.03972,0.1569,0.01589,0.10526,58,66.83,12,91
Bach,SyuzannaKaszo,Ukraine,F,EnglishSuiteInAMinorBWV8072ndMov,268,190,4/4,0.11618,0.025,0.11176,0.01471,0.14412,0.06912,0.05074,0.08897,0.05147,0.15956,0.01324,0.15515,69,58.89,3,91
Bach,SyuzannaKaszo,Ukraine,F,EnglishSuiteInAMinorBWV8071stMov,241,237,4/4,0.12452,0.01344,0.12836,0.01601,0.16165,0.05954,0.05922,0.08099,0.06466,0.1354,0.0048,0.15141,75,67.62,9,104
Bach,JosueGonzalez,CostaRica,M,PreludeAndFugueInBMajorWTCBook1,188,226,4/4,0.00622,0.14463,0.00389,0.14152,0.1042,0.02333,0.13142,0.00933,0.14619,0.02566,0.11975,0.14386,69,61.92,13,101
Bach,ShihWeiHuang,Taiwan,F,ToccataFromPartitaNo6InEMinor,342,232,4/4,0.07736,0.06985,0.12283,0.02954,0.1519,0.0361,0.10642,0.09845,0.03235,0.10455,0.03329,0.13737,87,69.44,3,103
Bach,LeopoldoErice,Spain,M,ThreePartInventions(GMinor-DMinor-GMajor),527,99,4/4,0.10843,0.03536,0.14437,0.03182,0.09605,0.06364,0.06659,0.12964,0.01945,0.14496,0.0772,0.0825,62,59.59,3,84
Bach,MartinLeung,USA,M,ChromaticFantasyAndFugueInDMinorBWV903,738,209,4/4,0.088,0.06274,0.135,0.03458,0.11422,0.08702,0.05361,0.11733,0.03244,0.14802,0.06954,0.0575,85,65.75,3,100
Bach,MartinLeung,USA,M,JesuJoyOfMansDesiringBWV147,208,209,4/4,0.11569,0.00665,0.1988,0.00133,0.11702,0.01795,0.07912,0.17287,0.00532,0.13697,0.00133,0.14694,76,45.37,3,92
Bach,NicolasGiacomelli,Italy,M,PreludeAndFugueInCSharpMinorWTCBook1,456,156,4/4,0.05023,0.15671,0.01959,0.12607,0.11904,0.01758,0.14013,0.01356,0.1547,0.08388,0.04068,0.07785,74,65.16,15,99
Bach,TuomasKyykhynen,Finland,M,ItalianConcertoInFMajorBWV9712ndMov,294,189,4/4,0.06716,0.04832,0.15315,0.00737,0.15152,0.16216,0.00983,0.14906,0.0041,0.1335,0.09746,0.01638,66,65.26,3,96
Bach,Hyo-SunLim,SouthKorea,F,PreludeAndFugueInFSharpMinorWTKBook2,428,178,4/4,0.02029,0.15501,0.07729,0.05052,0.10449,0.03497,0.15674,0.01598,0.12133,0.11874,0.02159,0.12306,69,59.16,10,93
Bach,Ji-SunLee,SouthKorea,F,Chaconne,942,205,4/4,0.04659,0.06791,0.18662,0.01596,0.11361,0.08361,0.05259,0.10097,0.01519,0.20092,0.07506,0.04098,99,70.29,7,109
Bach,SashaBultIto,USA,F,PreludeAndFugueInFMinorWTCBook1,319,206,4/4,0.16162,0.0626,0.0626,0.08671,0.04772,0.14264,0.01077,0.13289,0.11801,0.03079,0.11083,0.03284,73,61.28,4,90
Bach,SarahTuan,USA,F,PreludeAndFugueInGMajorWTCBook1,223,205,4/4,0.08032,0.05907,0.1479,0.01402,0.14152,0.0119,0.12027,0.14705,0.0136,0.13345,0.00935,0.12155,66,69.41,10,104
Bach,PengLin,China,F,PreludeFromTheEnglishSuiteNo6InDMinor,460,231,4/4,0.10671,0.0342,0.14913,0.01775,0.12446,0.11883,0.02273,0.12294,0.01818,0.15065,0.07879,0.05563,82,70.76,3,104
Bach,PeijieAngelaYu,China,F,PreludeAndFugueInFMinorWTCBook1,332,231,4/4,0.16536,0.0626,0.05999,0.08294,0.04956,0.14606,0.01043,0.13041,0.11163,0.03078,0.11685,0.03339,68,60.86,21,95
Bach,TaoLin,China,M,Chaconne,941,204,4/4,0.04685,0.0702,0.18878,0.01473,0.11565,0.08163,0.05459,0.10029,0.01384,0.19665,0.07389,0.04291,99,65.12,6,108
Bach,TimurMustakimov,Russia,M,ChaconneInDMinor,802,195,4/4,0.04517,0.06854,0.1893,0.01279,0.1171,0.08355,0.05405,0.09948,0.01201,0.20483,0.07206,0.04112,103,72.91,3,112
Bach,TimurMustakimov,Russia,M,PartitaInCMinorBWV826,1133,225,4/4,0.15487,0.01422,0.12161,0.11445,0.02251,0.12352,0.02598,0.16719,0.07727,0.04591,0.08869,0.04378,83,66.48,8,107
Bach,SuYeonKim,SouthKorea,F,PreludeFromTheEnglishSuiteNo2InAMinor,250,249,4/4,0.12625,0.01292,0.12851,0.01582,0.16274,0.06006,0.05909,0.08072,0.06361,0.13303,0.00517,0.15208,70,71.54,21,100
Bach,NoaLeighKleisen,Netherlands,F,PreludeAndFugueInBMinorWTCBook2,224,227,4/4,0.01071,0.12259,0.11617,0.02409,0.12527,0.02355,0.16274,0.07816,0.04604,0.1151,0.03694,0.13865,69,62.68,16,94
Bach,BenjaminKim,USA,M,SheepMaySafelyGraze,284,150,4/4,0.15904,0.00261,0.15904,0.1024,0.01786,0.15468,0.00436,0.11373,0.00784,0.0732,0.19041,0.01481,79,43.08,6,86
Bach,MisoraOzaki,Japan,F,PreludeAndFugueInEMajorWTCBook1,145,210,4/4,0.01189,0.12489,0.02719,0.10535,0.14613,0.00935,0.12404,0.0085,0.13934,0.12319,0.02549,0.15463,65,64.87,21,98
Bach,MinJooYi,SouthKorea,F,PreludeAndFugueInCMinorWTCBook2,240,182,4/4,0.16248,0.01994,0.10266,0.12925,0.02511,0.13589,0.00886,0.15657,0.09749,0.02659,0.09084,0.04431,67,59.11,3,93
Bach,MelanieHebert,Canada,F,PreludeAndFugueNo14InFSharpMinorWTCBook2,399,181,4/4,0.02056,0.15375,0.07666,0.05139,0.10493,0.03383,0.1546,0.01542,0.12505,0.12077,0.02099,0.12206,63,62.56,6,85
Bach,MeiLi,China,F,PreludeAndFugueNo2InCMinorWTCBook1,220,212,4/4,0.09844,0.04486,0.12025,0.02991,0.13956,0.08224,0.05732,0.08474,0.05919,0.14143,0.0243,0.11776,79,67.76,7,106
Bach,MayukiMiyashita,Japan,F,PreludeAndFugueInEMajorWTCBook1,151,217,4/4,0.01184,0.12437,0.02792,0.10406,0.14805,0.00931,0.12437,0.00761,0.13875,0.12606,0.02453,0.15313,61,69.2,7,94
Bach,MayukiMiyashita,Japan,F,PreludeAndFugueInCSharpMajorWTCBook1,218,217,4/4,0.09782,0.13917,0.01512,0.13384,0.0169,0.12672,0.0996,0.03424,0.18897,0.00711,0.12494,0.01556,67,70.89,3,100
Bach,NinaHu,China,F,PreludeAndFugueInBFlatMinorWTCBook1,314,159,4/4,0.12665,0.11609,0.02243,0.13522,0.01583,0.15831,0.08575,0.0343,0.06728,0.05475,0.1748,0.00858,78,58.63,3,96
Bach,TuomasKyykhynen,Finland,M,ItalianConcertoInFMajorBWV9713rdMov,230,230,4/4,0.13399,0.01743,0.12491,0.01126,0.11837,0.16449,0.00763,0.12781,0.01489,0.14234,0.08533,0.05156,74,74.83,9,106
Bach,MishaGalant,USA,M,ToccataInCMinorBWV911,623,164,4/4,0.15978,0.00509,0.13605,0.13138,0.01738,0.1121,0.01907,0.16995,0.05891,0.05171,0.09599,0.04259,74,66.71,11,92
Bach,MarouanBenabdallah,Hungary,M,FrenchSuiteNo5InGMajor,978,198,4/4,0.09355,0.03186,0.15044,0.01922,0.12023,0.01252,0.1177,0.15436,0.00518,0.15436,0.00202,0.13856,86,68.95,7,96
Bach,KookHeeHong,SouthKorea,F,PreludeAndFugueInDMinorWTCBook2,533,221,4/4,0.09771,0.03301,0.1184,0.08671,0.0581,0.13028,0.02289,0.12016,0.05414,0.08913,0.15207,0.03741,89,62.44,6,101
Bach,AndrejJussow,Germany,M,DuetInEMinorBWV802,134,219,4/4,0.06036,0.07847,0.08048,0.06036,0.14487,0.02213,0.11469,0.09859,0.04728,0.11368,0.05231,0.12676,62,56.02,7,86
Bach,AndrejJussow,Germany,M,DuetInGMajorBWV804,128,237,4/4,0.10774,0.02892,0.13666,0.0188,0.13666,0.02531,0.10123,0.14389,0.00723,0.13738,0.00434,0.15184,71,60.73,4,94
Bach,AnastasiaBogdanovich,Russia,F,ChaconnaInDMinor,876,204,4/4,0.04493,0.06892,0.18787,0.01442,0.11244,0.08385,0.05233,0.10325,0.01506,0.19872,0.07492,0.04327,106,73.39,3,110
Bach,ZitongWang,China,F,PreludeAndFugueInAMinorWTCBook2,241,211,4/4,0.09717,0.04613,0.11931,0.02952,0.14084,0.08487,0.0572,0.08426,0.05904,0.14084,0.02399,0.11685,78,72.19,6,105
Bach,FengBian,China,M,PreludeAndFugueInDMajorBook2,313,186,4/4,0.01705,0.10566,0.15141,0.00832,0.14933,0.00957,0.13186,0.09193,0.03453,0.15599,0.01498,0.12937,73,61.12,4,93
Bach,HenryWongDoe,NewZealand,M,ToccataInDMinor,532,197,4/4,0.07239,0.06217,0.15273,0.02451,0.11216,0.11037,0.02045,0.13683,0.01688,0.17578,0.08992,0.02581,108,71.58,2,110
Bach,TamiLin,Canada,F,PreludeAndFugueInCSharpMajorWTCBook1,196,231,4/4,0.09862,0.13699,0.01696,0.13432,0.01562,0.12807,0.09862,0.03525,0.18786,0.00714,0.12494,0.01562,70,65.66,2,94
Bach,YunlingZhang,China,F,PreludeAndFugueInFSharpMajorWTCBook1,237,255,4/4,0.03275,0.1441,0.0131,0.12445,0.00946,0.11208,0.14629,0.01019,0.15066,0.01019,0.15066,0.09607,64,61.28,8,91
Bach,YerinYoung,SouthKorea,F,PreludeAndFugueInAMinorWTCBook2,242,227,4/4,0.09768,0.0464,0.1221,0.03236,0.13919,0.08547,0.05372,0.08303,0.06105,0.13797,0.0232,0.11783,76,64.76,8,104
Bach,YangSong,China,F,PreludeAndFugueInAFlatMajorWTCBook1,248,233,4/4,0.12703,0.10369,0.03176,0.15813,0.00907,0.1348,0.01426,0.11536,0.15813,0.00648,0.14064,0.00065,71,62.98,20,98
Bach,WaiYuenWong,China,F,PreludeAndFugueInDMajorWTCBook2,380,190,4/4,0.0182,0.10339,0.14888,0.00786,0.15054,0.01199,0.13069,0.0914,0.03515,0.15798,0.01489,0.12903,80,71.88,8,105
Bach,WaiYuenWong,China,F,ChromaticFantasyAndFugueInDMinor,711,207,4/4,0.08813,0.06281,0.13503,0.03415,0.10854,0.08871,0.05201,0.12149,0.03238,0.14936,0.07085,0.05653,98,76.79,3,113
Bach,VivianLou,Canada,F,PreludeAndFugueInCSharpMajorWTCBook1,207,228,4/4,0.09853,0.1391,0.0156,0.13553,0.0156,0.12751,0.09808,0.03477,0.18903,0.00713,0.12394,0.01516,56,64.72,16,90
Bach,ValerieNarumi,USA,F,EnglishSuiteNo3InGMinorBWV808Prelude,182,219,4/4,0.12432,0.02268,0.15582,0.07308,0.04368,0.10584,0.03822,0.13776,0.02688,0.12138,0.13314,0.01722,70,71.07,3,107
Bach,TracyWong,USA,F,PreludeAndFugueNo24InBMinorWTCBook2,254,209,4/4,0.01038,0.12253,0.11682,0.027,0.12253,0.02336,0.15992,0.07477,0.04725,0.11475,0.03842,0.14226,65,67.56,3,93
Bach,YonggiuLiu,China,F,PreludeAndFugueInAMinorWTCBook2,225,214,4/4,0.09693,0.04724,0.11963,0.03006,0.14172,0.08344,0.05767,0.08344,0.05951,0.13988,0.02331,0.11718,73,61.56,22,99
Bach,AdrianBrendle,Germany,M,PreludeAndFugueInCSharpMinorWTCBook1,328,199,4/4,0.05113,0.15388,0.02016,0.12488,0.11898,0.0177,0.13569,0.01377,0.15683,0.08653,0.04179,0.07866,69,67.39,8,103
Bach,ZhihengGuo,China,M,PreludeAndFugueInFMinorWTCBook2,303,212,4/4,0.14227,0.01273,0.14318,0.08227,0.03909,0.10682,0.03409,0.15682,0.02909,0.11,0.11091,0.03273,84,73.64,3,107
Bach,ZihuiSong,China,M,PreludeAndFugueInEFlatMajorWTCBook2,229,205,4/4,0.10995,0.02027,0.11978,0.15233,0.0086,0.12285,0.0086,0.14558,0.10074,0.03501,0.16708,0.00921,60,66.29,15,92
Bach,FangzhouYe,China,M,EnglishSuiteNo6InDMinorBWV811,474,239,4/4,0.10826,0.03472,0.14837,0.01725,0.12185,0.11904,0.02372,0.1253,0.0179,0.14967,0.08001,0.05391,85,72.03,3,104
Bach,FrankDuepree,Germany,M,PreludeAndFugueInBFlatMinorWTCBook2,367,188,4/4,0.12767,0.12835,0.02581,0.13345,0.01698,0.13752,0.0781,0.04482,0.09372,0.03939,0.15246,0.02173,79,68.58,4,105
Bach,AristoSham,China,M,PreludeAndFugueInBFlatMinorWTCBook1,343,151,4/4,0.12533,0.11873,0.02309,0.13391,0.01649,0.15897,0.08377,0.03496,0.06662,0.05541,0.17414,0.00858,83,57.67,8,101
Bach,AndrewZhao,China,M,PreludeAndFugueInCSharpMinorWTCBook1,471,177,4/4,0.05209,0.1543,0.01966,0.12432,0.11843,0.01769,0.13612,0.01474,0.15627,0.086,0.04324,0.07715,77,58.34,3,97
Bach,AndrewWang,Canada,M,PreludeAndFugueInFMajorWTCBook2,271,187,4/4,0.12759,0.02074,0.13841,0.02435,0.11407,0.14247,0.01082,0.13751,0.01939,0.13165,0.08837,0.04463,63,66.67,24,97
Bach,HaoTianTimZhang,Canada,M,PreludeAndFugueInGMajorWTCBook1,234,211,4/4,0.08121,0.0591,0.14881,0.01446,0.14286,0.01233,0.12075,0.14413,0.01276,0.13265,0.00935,0.1216,61,64.92,27,98
Bach,AndrewLi,USA,M,PreludeAndFugueInGMajorWTCBook2,137,228,4/4,0.08409,0.03569,0.16515,0.01633,0.11494,0.00847,0.12099,0.15426,0.01089,0.1464,0.00726,0.13551,63,65.31,16,92
Bach,ArseniiMun,Russia,M,PreludeAndFugueInAMinorWTCBook2,236,222,4/4,0.09708,0.04543,0.12134,0.02987,0.14063,0.08276,0.056,0.08401,0.06098,0.14063,0.02365,0.11761,60,73.68,19,100
Bach,AndreiShychko,Belarus,M,PreludeAndFugueInGSharpMinorWTCBook1,300,168,4/4,0.03081,0.12766,0.01908,0.15921,0.08804,0.04402,0.09758,0.03888,0.14894,0.01761,0.12472,0.10345,65,66.07,16,96
Bach,JakubSladek,CzechRepublic,M,PreludeAndFugueInDMajorWTCBook1,176,215,4/4,0.0267,0.09613,0.14953,0.00935,0.13818,0.01669,0.13485,0.1215,0.02804,0.13952,0.00801,0.13151,68,61.54,18,95
Bach,AlexanderLu,USA,M,PreludeAndFugueInEMajorWTCBook1,159,211,4/4,0.01336,0.1227,0.02671,0.10851,0.14942,0.01002,0.12354,0.00751,0.13856,0.12104,0.02504,0.15359,70,62.81,7,98
Bach,JanLisiecki,Canada,M,PreludeAndFugueInCSharpMinorWTCBook2(2),393,223,4/4,0.04018,0.14207,0.0168,0.12272,0.12199,0.02995,0.14573,0.01424,0.15449,0.07195,0.04456,0.09533,85,60.19,3,96
Bach,AaronKurz,USA,M,PreludeAndFugueNo5InDMajorWTCBook2,354,191,4/4,0.01723,0.10377,0.15094,0.0082,0.14889,0.00984,0.13043,0.09311,0.03568,0.1571,0.01518,0.12961,79,64.62,3,95
Bach,AaronKurz,USA,M,PreludeAndFugueInDMajorWTCNook2,336,196,4/4,0.0184,0.10548,0.15127,0.00818,0.14922,0.01022,0.12919,0.09321,0.03598,0.15495,0.01513,0.12878,88,67.3,5,106
Bach,JanLisiecki,Canada,M,PreludeAndFugueInCSharpMinorWTCBook2,364,230,4/4,0.04083,0.14218,0.01641,0.12395,0.12213,0.03172,0.14473,0.01495,0.15166,0.06963,0.04557,0.09624,84,62.17,3,96
Bach,JanLisiecki,Canada,M,PreludeAndFugueInFMinorWTCBook1,337,226,4/4,0.16465,0.06312,0.06155,0.08364,0.04892,0.14466,0.01052,0.12993,0.11257,0.03104,0.11625,0.03314,81,57.17,3,91
Bach,AmirSiraj,USA,M,PreludeAndFugueInEFLatMajorWTCBook2,246,185,4/4,0.11111,0.01986,0.12104,0.15208,0.00745,0.12166,0.00807,0.14587,0.09994,0.036,0.1676,0.00931,66,60.5,11,91
Bach,EvrenOzel,USA,M,PreludeAndFugueNo22InBFlatMinorWTCBook1,352,145,4/4,0.12492,0.11707,0.02224,0.13342,0.01635,0.15893,0.08437,0.03466,0.06802,0.05625,0.17397,0.00981,81,61.82,3,100
Bach,EvanLee,USA,M,PreludeAndFugueInCMajorWTCBook2,233,232,4/4,0.13967,0.01593,0.15295,0.00637,0.14392,0.12533,0.02868,0.14551,0.01434,0.11949,0.02974,0.07807,81,69.74,4,105
Bach,ArthurKhmara,Belarus,M,PreludeAndFugueInFSharpMinorWTCBook2,438,236,4/4,0.02148,0.15421,0.07689,0.05026,0.10438,0.03479,0.15464,0.01675,0.12371,0.11985,0.02148,0.12156,66,59.62,4,95
Bach,DavidYoshiakiKo,Japan,M,PreludeAndFugueInGMajorWTCBook1,219,203,4/4,0.08195,0.05817,0.14904,0.01486,0.1431,0.01189,0.11932,0.14352,0.01274,0.13376,0.00934,0.12229,63,75.64,5,107
Bach,ChristopherSonRichardson,USA,M,PreludeAndFugueNo9InEMajorWTCBook1,157,233,4/4,0.01438,0.12183,0.02792,0.10575,0.14552,0.01015,0.12352,0.00846,0.14044,0.12267,0.02538,0.15398,64,65.54,6,92
Bach,ChristopherSonRichardson,USA,M,EnglishSuiteNo2InAMinor,821,223,4/4,0.12034,0.02098,0.11904,0.01956,0.1658,0.06813,0.05065,0.09119,0.04676,0.14754,0.0092,0.1408,89,70.14,3,105
Bach,ChristopherSonRichardson,USA,M,EnglishSuiteNo21stMov,285,218,4/4,0.12641,0.01322,0.12899,0.01612,0.16382,0.05869,0.05837,0.0803,0.06353,0.13189,0.00548,0.15318,73,69.13,3,98
Bach,CheLi,China,M,PreludeAndFugueInEFlatMinorWTCBook1,521,160,4/4,0.02757,0.08505,0.04626,0.15935,0.02243,0.11729,0.11168,0.02804,0.13879,0.01028,0.15981,0.09346,78,56.53,4,92
Bach,DongzuJin,China,M,PreludeAndFugueNo17InAFlatMajorWTCBook1,208,250,4/4,0.1238,0.10327,0.03079,0.15587,0.00962,0.1347,0.01475,0.11418,0.16228,0.00706,0.1424,0.00128,66,70.02,4,99
Bach,CharlieLiu,USA,M,ToccataInEMinorBWV914,365,236,4/4,0.06072,0.04579,0.07067,0.05143,0.16888,0.0073,0.1357,0.10119,0.0365,0.12608,0.02256,0.17319,76,68.74,11,102
Bach,EdwardZhang,USA,M,PreludeAndFugueInAMinorWTCBook1,309,200,4/4,0.11687,0.03088,0.13645,0.01262,0.15438,0.09064,0.0415,0.10425,0.03187,0.14708,0.02357,0.10989,91,65.3,3,99
Bach,CharlieLiu,China,M,PreludeAndFugueInEFlatMinorWTCBook1,514,165,4/4,0.02733,0.08838,0.04465,0.15945,0.0205,0.11663,0.11298,0.02733,0.14032,0.00957,0.15763,0.09522,76,56.54,4,92
Bach,CalebBorick,USA,M,PreludeAndFugueInEFlatMinorWTCBook1,546,162,4/4,0.02729,0.08501,0.04832,0.16465,0.02013,0.11588,0.1132,0.02685,0.14049,0.01029,0.15839,0.08949,85,60.83,3,100
